Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
tm_send_from,'2656217262147999389 34700225938412113 819702407',gssb_get_sun,'',com_send_data,'IRMmr-Rj',gssb_get_uuid,'',obc_set_pwm_duty,'2329221505179435218 8012063850827760815',0,7.288135051727295,444020.0,10596.0
gssb_fss_get_temp,'',init_dummy_sensor,'',drp_add_hrs_alive,'621868866',gssb_arm_manual,'4226318710015198428',obc_set_pwm_duty,'Bn 340814009',0,7.233669996261597,444020.0,10972.0
tm_get_last,'13862611643766101223',gssb_msp_get_temp,'',obc_set_pwm_freq,'9487641181044954470 57466837296350526431256270611919252872',obc_get_time,'965621876',obc_get_mem,'',0,7.76348352432251,444020.0,10692.0
tm_send_all,'4952078706429044879 151171306234851300743607973139655006395',gssb_get_burn_config,'',obc_prop_tle,'{^<Ff/dc8f',drp_set_deployed,'-185940301547952284922498206790471237854',drp_get_vars,'',0,7.34535813331604,444020.0,10940.0
gssb_msp_cal_temp,'1021913842 E>1SHi~98g',gssb_arm_auto,'Xj%A)o>mU',gssb_pwr,"'9043395184478622553070750892683869238 vtk,S;^;'",obc_set_tle,'5463128835557840557 -193139530145366791577907217326137115296',eps_get_config,'',0,7.115791082382202,444020.0,10812.0
gssb_get_temp,'',gssb_get_uuid,'',com_reset_wdt,'330059234061307347524037046864849446203',gssb_commit_addr,'',fp_del_cmd,'-8087995802958671991 y$ 30255627979779820292641854784812129487 (+ -27986165 -1144688216315706797',0,6.9860148429870605,444020.0,10976.0
obc_pwm_pwr,'hGbYw6t9',init_dummy_sensor,'',gssb_scan,'18047699115350105991 -312970170289272204909874323932882935551',set_state,'1190870208680021573 3932697379832539367 26914636900038838',obc_pwm_pwr,'41747522',0,6.914515018463135,444020.0,10800.0
com_send_cmd,'cZJ4=H -159306607159582821549929755089664583553',fp_reset,'',drp_clear_gnd_wdt,'',rw_get_speed,'',tm_send_all,'`\AGn~X$1 -1953063367',0,7.176849842071533,444020.0,10704.0
fp_reset,'',obc_pwm_pwr,'6151569842667600870',com_send_cmd,'1209813514 6115116006688293446',obc_ident,'',obc_pwm_pwr,'4]re-Sr',0,8.228717565536499,444020.0,10656.0
com_send_rpt,'-5709185670190361144 -61750179270560290725101550707404272079',obc_get_mem,'',eps_update_status,'',com_reset_wdt,'I.',com_set_config,'-1582518136778105269 7928203257107291875',0,6.962690114974976,444020.0,10892.0
com_debug,'',gssb_get_model,'',help,'',init_dummy_sensor,'',set_state,'-1224267297 2084339479 ',0,7.345576047897339,444020.0,10956.0
gssb_unlock_config,'967543423',tm_send_from,'-591280949 -1875225830166793228 -4493597693378846994',com_set_config,"',nN8%(6nj{ -195563454562763249775378726521658093369'",fp_set_cmd_unix,"'cHnP -299540717 :^H.guZB,; -64748807077292209514667093691655473593 770836755'",gssb_unlock_config,'-63179166631708671135626742770610944283',0,7.110091686248779,444020.0,10912.0
tm_set_ack,'-96171431 -135915440466304751390098437871958354660',gssb_fss_get_temp,'',obc_set_pwm_freq,'-1511919703 2083173503',obc_get_time,'-211932223808034331276804645043217402715',drp_ebf,'5372628262160642537',0,6.44702672958374,444020.0,10880.0
eps_set_heater,'z[u;AZfZ -6359420676769062739',com_ping,'-227590001782145724655571240290768443872',tm_get_last,'7743115080596329202',gssb_get_sun,'',gssb_pwr,'-5724815536094010199 680642981',0,9.26606822013855,444020.0,10936.0
drp_test_system_vars,'',gssb_get_temp_int,'',gssb_get_temp,'',gssb_get_sun,'',gssb_scan,'-203412452688274974098829154201546449368 4962648693602093798',0,9.954401731491089,444020.0,10944.0
gssb_arm_auto,'16558612932126110190',gssb_antenna_release,'-1133317030 450511777098044021 -750628531303765258 -3852549823041232931',gssb_msp_cal_temp,'`ZE -8775368987248453336',gssb_get_temp,'',com_get_config,'-3212816135590915007',0,6.978992223739624,444020.0,10656.0
gssb_get_burn_config,'',fp_show,'',rw_set_speed,' 326706367329757045104956040483477421719',obc_set_pwm_freq,'-300685611568350319736469294651751501426 14673302483240661926',tm_parse_status,'',0,7.187901020050049,444020.0,10868.0
com_reset_wdt,'286453105520569719764732011308181816171',com_reset_wdt,'11470687159706727268',gssb_fss_set_config,'-5875219635664769529',gssb_get_uuid,'',com_get_config,'UV'.s>s',0,7.284224510192871,444020.0,10656.0
com_get_node,'',drp_test_system_vars,'',eps_get_hk,'',com_get_config,'21111896802029547057849960428487827982',com_reset_wdt,'-804721919',0,9.899130582809448,444020.0,10628.0
