Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
gssb_arm_manual,'-1184593614',gssb_get_sun,'',com_send_cmd,'-1152458799 .',obc_ident,'',com_update_status,'',gssb_arm_manual,'601891832',tm_send_last,'5457795347322635360 2023478545303732684',com_set_node,'1694070396',drp_clear_gnd_wdt,'',eps_get_config,'',0,7.313031196594238,444020.0,10660.0
gssb_get_sun,'',gssb_antenna_release,'-2036299735 -295255291 1740697421 -401841854',eps_get_hk,'',gssb_arm_auto,'1590758967',eps_get_hk,'',tm_get_last,'4741362815228957202',obc_get_mem,'',obc_get_sensors,'',obc_set_tle,'2052488790 F0>jNU#',gssb_get_uuid,'',0,7.342713356018066,444020.0,10608.0
obc_set_pwm_freq,'-2022891155 19149574132317943457298334275407745640',gssb_arm_auto,'874457868',gssb_get_temp,'',gssb_update_status,'',gssb_get_sun,'',gssb_get_model,'',com_debug,'',obc_update_status,'',fp_del_cmd,'-101589356 -629056351 420695072 -1209056003 -1319743871 1983756326',gssb_arm_manual,'-634992086',-11,6.754626035690308,444020.0,10616.0
drp_get_vars,'',gssb_fss_set_config,'906944160',obc_ident,'',fp_show,'',gssb_set_addr,'177243391',obc_update_tle,'',com_get_config,'-cH2lQ2',help,'',com_get_config,'PAzW$(qC',gssb_get_version,'',0,7.29394268989563,444020.0,10884.0
obc_update_tle,'',drp_ebf,'-524854442',tm_get_last,'10197194710815151422',com_send_tc,'-257886144 +tGuR>7',drp_clear_gnd_wdt,'',tm_send_status,'-766840843',obc_ident,'',gssb_arm_auto,'-1938189783',gssb_get_status,'',eps_hard_reset,'',-6,7.82311487197876,444020.0,10748.0
init_dummy_sensor,'',obc_update_tle,'',gssb_arm_auto,'-707304580',com_get_node,'',eps_set_heater,'171472252 1360654636',gssb_burn,'',gssb_fss_get_temp,'',obc_pwm_pwr,'511492776',com_get_config,')(:',eps_get_hk,'',0,7.538541316986084,444020.0,10628.0
gssb_set_burn_config,'800687063 1124946528 690088391 -155471699 1317426603 1040394687 -1307227209',gssb_antenna_release,'1805840154 898325285 1204914374 1024921581',eps_get_config,'',gssb_set_burn_config,'-1883453785 889120863 -705651894 1189277418 -1628404863 -1360977389 1553115322',com_reset_wdt,'642989907',gssb_get_sun,'',obc_get_sensors,'',obc_update_status,'',obc_ident,'',gssb_burn,'',0,7.32245659828186,444020.0,10656.0
init_dummy_sensor,'',rw_get_speed,'',tm_send_status,'1047549207',obc_get_mem,'',gssb_msp_cal_temp,'1380887691 1001142493',eps_set_heater,'-630405210 -345445935',obc_get_mem,'',com_set_node,'-50993935',drp_test_system_vars,'',obc_debug,'-1424346795',-6,6.583225250244141,444020.0,10748.0
gssb_fss_set_config,'-180815180',rw_set_speed,'2037994543 901100699',tm_send_last,'7438519857445039441 11757680341197991543',gssb_get_temp,'',obc_reset_wdt,'',gssb_get_sun,'',obc_set_tle,'1127424831 F5P-d',gssb_fss_get_sun,'',tm_send_all,'8716077727965492590 11869114085414275388',rw_get_current,'',0,7.241535902023315,444020.0,10616.0
gssb_pwr,'-1302901284 1430426498',tm_set_ack,'194793289872948531 1057492482977580816',obc_ident,'',gssb_burn,'',obc_get_sensors,'',gssb_msp_get_temp,'',drp_get_vars,'',gssb_msp_get_temp,'',gssb_msp_cal_temp,'749108548 -1500975528',obc_debug,'-1355754037',0,7.331073045730591,444020.0,10552.0
